	enfant	age	type	seconde_debut	seconde_fin	contenu
79	LEONARD	1_08_09	MOT	75.936	79.58800000000001	non celui+là i fuit .
80	LEONARD	1_08_09	MOT	79.58800000000001	83.79799999999999	ce bateau là on peut pas le mettre .
81	LEONARD	1_08_09	CHI	83.79799999999999	84.227	non bateau .
82	LEONARD	1_08_09	mod			nɔ̃ bato
83	LEONARD	1_08_09	sit			il crie.
84	LEONARD	1_08_09	pho			na datoː
85	LEONARD	1_08_09	MOT	84.227	86.811	attends je vais t'en trouver un autre parce+que y en a un autre qu' est important .
86	LEONARD	1_08_09	sit			il s'agit d'une bouteille de gel douche. CHI s'en saisit.
87	LEONARD	1_08_09	MOT	86.811	91.291	c'est celui+là .
88	LEONARD	1_08_09	CHI	91.291	91.87899999999999	bateau .
89	LEONARD	1_08_09	mod			bato
90	LEONARD	1_08_09	pho			dato
91	LEONARD	1_08_09	MOT	91.87899999999999	92.46700000000001	attends !
92	LEONARD	1_08_09	sit			CHI tire la bouteille.
93	LEONARD	1_08_09	MOT	92.46700000000001	93.35	regarde .
94	LEONARD	1_08_09	MOT	93.35	94.066	dans la main .
95	LEONARD	1_08_09	CHI	94.066	94.60700000000001	non .
96	LEONARD	1_08_09	mod			nɔ̃
97	LEONARD	1_08_09	pho			nɔ̃
98	LEONARD	1_08_09	CHI	94.60700000000001	95.33	non .
99	LEONARD	1_08_09	mod			nɔ̃
100	LEONARD	1_08_09	pho			nɔ̃
101	LEONARD	1_08_09	MOT	95.33	95.834	bon alors je le ferme .
102	LEONARD	1_08_09	sit			elle fait flotter la bouteille.
103	LEONARD	1_08_09	CHI	95.834	96.086	ɛ̃@fs bateau .
104	LEONARD	1_08_09	mod			… bato
105	LEONARD	1_08_09	sit			il est tout content. il fait des mouvements de brasse. iI montre OBS.
106	LEONARD	1_08_09	pho			ɛ̃ dato
107	LEONARD	1_08_09	CHI	96.086	96.25399999999999	bateau .
108	LEONARD	1_08_09	mod			bato
109	LEONARD	1_08_09	pho			dato
110	LEONARD	1_08_09	CHI	96.25399999999999	96.51	bateau .
111	LEONARD	1_08_09	mod			bato
112	LEONARD	1_08_09	pho			dato
113	LEONARD	1_08_09	CHI	96.51	102.26700000000001	ə@fs bateau .
114	LEONARD	1_08_09	mod			… bato
115	LEONARD	1_08_09	pho			ə dato
116	LEONARD	1_08_09	CHI	102.26700000000001	105.552	da@fs papa .
117	LEONARD	1_08_09	mod			… papa
118	LEONARD	1_08_09	pho			da papa
119	LEONARD	1_08_09	MOT	105.552	108.837	papa ?
120	LEONARD	1_08_09	MOT	108.837	110.45	il est parti papa .
121	LEONARD	1_08_09	OBS	110.45	113.29299999999999	c'est Lili # c'est pas papa .
122	LEONARD	1_08_09	tim			2:00
123	LEONARD	1_08_09	sit			MOT essaie de frotter CHI
124	LEONARD	1_08_09	CHI	113.29299999999999	114.28	non .
125	LEONARD	1_08_09	mod			nɔ̃
126	LEONARD	1_08_09	pho			nɔ̃
127	LEONARD	1_08_09	MOT	114.28	119.82700000000001	Léonard je vais te laver .
128	LEONARD	1_08_09	CHI	119.82700000000001	121.075	bateau bateau .
129	LEONARD	1_08_09	mod			bato bato
130	LEONARD	1_08_09	pho			dado dado
131	LEONARD	1_08_09	MOT	121.075	122.745	t'en veux ?
132	LEONARD	1_08_09	sit			elle lui met du shampoing sur la main.
133	LEONARD	1_08_09	MOT	122.745	123.72200000000001	tiens voilà .
134	LEONARD	1_08_09	MOT	123.72200000000001	124.285	je te le rends .
135	LEONARD	1_08_09	CHI	124.285	125.101	non non .
136	LEONARD	1_08_09	mod			nɔ̃ nɔ̃
137	LEONARD	1_08_09	sit			il gémit et tourne le dos .
138	LEONARD	1_08_09	pho			nɔ̃ nɔ̃
139	LEONARD	1_08_09	MOT	125.101	127.27799999999999	qu' est+ce qu' il y a ?
140	LEONARD	1_08_09	sit			CHI se retourne.
141	LEONARD	1_08_09	MOT	127.27799999999999	132.967	je vais pas te laver la tête .
142	LEONARD	1_08_09	CHI	132.967	133.246	a@fs tête .
143	LEONARD	1_08_09	mod			… tɛt
144	LEONARD	1_08_09	pho			a tɛt
145	LEONARD	1_08_09	MOT	133.246	133.618	pas la tête .
146	LEONARD	1_08_09	MOT	133.618	134.458	je vais pas te laver la tête .
147	LEONARD	1_08_09	MOT	134.458	136.138	donne+moi tes mains .
148	LEONARD	1_08_09	CHI	136.138	137.297	non .
149	LEONARD	1_08_09	mod			nɔ̃
150	LEONARD	1_08_09	sit			il tape sur la main de MOT pleine de savon à plusieursd reprises.
151	LEONARD	1_08_09	pho			nɔ̃
152	LEONARD	1_08_09	MOT	137.297	138.567	tu veux pas ?
153	LEONARD	1_08_09	CHI	138.567	140.225	non les@fs mains .
154	LEONARD	1_08_09	mod			nɔ̃ … mɛ̃
155	LEONARD	1_08_09	pho			nɔ̃ː le mɛ̃
156	LEONARD	1_08_09	MOT	140.225	141.455	tu veux pas te laver les mains ?
157	LEONARD	1_08_09	CHI	141.455	142.29	non .
158	LEONARD	1_08_09	mod			nɔ̃
159	LEONARD	1_08_09	sit			en gémissant.
160	LEONARD	1_08_09	pho			nɔ̃
161	LEONARD	1_08_09	MOT	142.29	143.09	pourquoi ?
162	LEONARD	1_08_09	CHI	143.09	143.224	non .
163	LEONARD	1_08_09	mod			nɔ̃
164	LEONARD	1_08_09	pho			nɔ̃
165	LEONARD	1_08_09	MOT	143.224	143.358	oh !
166	LEONARD	1_08_09	MOT	143.358	143.628	petit malheureux !
167	LEONARD	1_08_09	MOT	143.628	148.31	tu veux te laver la tête toi+même ?
168	LEONARD	1_08_09	CHI	148.31	149.507	non .
169	LEONARD	1_08_09	mod			nɔ̃
170	LEONARD	1_08_09	pho			nɔ̃
171	LEONARD	1_08_09	MOT	149.507	151.047	regarde je te donne du savon .
172	LEONARD	1_08_09	sit			elle verse du gel douche.
173	LEONARD	1_08_09	CHI	151.047	152.015	non .
174	LEONARD	1_08_09	mod			nɔ̃
175	LEONARD	1_08_09	pho			nɔ̃
176	LEONARD	1_08_09	MOT	152.015	152.429	mets la main comme ça .
177	LEONARD	1_08_09	sit			elle montre sa main à plat.
178	LEONARD	1_08_09	CHI	152.429	152.567	non .
179	LEONARD	1_08_09	mod			nɔ̃
180	LEONARD	1_08_09	pho			nɔ̃ː
181	LEONARD	1_08_09	CHI	152.567	152.783	yyy .
182	LEONARD	1_08_09	mod			…
183	LEONARD	1_08_09	pho			komɑ̃
184	LEONARD	1_08_09	CHI	152.783	153.599	(en)co(re) .
185	LEONARD	1_08_09	mod			ɑ̃kɔʀ
186	LEONARD	1_08_09	pho			kɔ
187	LEONARD	1_08_09	MOT	153.599	154.415	encore ?
188	LEONARD	1_08_09	MOT	154.415	157.27700000000002	vas y lave toi maintenant .
189	LEONARD	1_08_09	MOT	157.27700000000002	162.224	mais il faut que tu te mettes debout pour te laver pour te laver le ventre .
190	LEONARD	1_08_09	CHI	162.224	163.1	enco(re) .
191	LEONARD	1_08_09	mod			ɑ̃kɔʀ
192	LEONARD	1_08_09	pho			ɑ̃kɔː
193	LEONARD	1_08_09	CHI	163.1	163.244	enco(re) .
194	LEONARD	1_08_09	mod			ɑ̃kɔʀ
195	LEONARD	1_08_09	pho			ɑ̃kɔː
196	LEONARD	1_08_09	sit			il gémit.
197	LEONARD	1_08_09	MOT	163.244	163.67600000000002	mets la main comme ça .
198	LEONARD	1_08_09	sit			il gémit. elle lui en verse.
199	LEONARD	1_08_09	MOT	163.67600000000002	163.82	regarde .
200	LEONARD	1_08_09	CHI	163.82	164.045	enco(re) .
201	LEONARD	1_08_09	mod			ɑ̃kɔʀ
202	LEONARD	1_08_09	pho			ɑ̃kɔː
203	LEONARD	1_08_09	MOT	164.045	167.482	je t'en mets dans la main .
204	LEONARD	1_08_09	MOT	167.482	168.46400000000003	voilà !
205	LEONARD	1_08_09	MOT	168.46400000000003	169.446	vas+y .
206	LEONARD	1_08_09	sit			il se frotte les mains.
207	LEONARD	1_08_09	MOT	169.446	171.415	frotte maintenant .
208	LEONARD	1_08_09	MOT	171.415	172.287	frotte .
209	LEONARD	1_08_09	MOT	172.287	177.528	mais il faut que tu te frottes le ventre aussi !
210	LEONARD	1_08_09	tim			3:00
211	LEONARD	1_08_09	MOT	177.528	182.71200000000002	il faut que tu te frottes partout !
212	LEONARD	1_08_09	CHI	182.71200000000002	184.66	(en)co(re) .
213	LEONARD	1_08_09	mod			ɑ̃kɔʀ
214	LEONARD	1_08_09	pho			kɔ
215	LEONARD	1_08_09	CHI	184.66	184.71	enco(re) .
216	LEONARD	1_08_09	mod			ɑ̃kɔʀ
217	LEONARD	1_08_09	pho			ɑ̃kɔ
218	LEONARD	1_08_09	MOT	184.71	184.76	tiens .
219	LEONARD	1_08_09	MOT	184.76	184.91	tiens je t'en mets un+peu .
220	LEONARD	1_08_09	sit			elle lui met du savon.
221	LEONARD	1_08_09	MOT	184.91	185.01	voilà le ventre .
222	LEONARD	1_08_09	MOT	185.01	185.14700000000002	et les pieds ?
223	LEONARD	1_08_09	MOT	185.14700000000002	192.332	tu me donnes les pieds ?
224	LEONARD	1_08_09	CHI	192.332	195.317	e@fs pieds .
225	LEONARD	1_08_09	mod			… pje
226	LEONARD	1_08_09	pho			e pie
227	LEONARD	1_08_09	MOT	195.317	196.88299999999998	les petits pieds de Léonard .
228	LEONARD	1_08_09	sit			elle les frotte.
229	LEONARD	1_08_09	CHI	196.88299999999998	197.672	non .
230	LEONARD	1_08_09	mod			nɔ̃
231	LEONARD	1_08_09	pho			nɔ̃ː
232	LEONARD	1_08_09	CHI	197.672	197.96400000000003	non .
233	LEONARD	1_08_09	mod			nɔ̃
234	LEONARD	1_08_09	sit			il se détourne.
235	LEONARD	1_08_09	pho			nɔ̃ː
236	LEONARD	1_08_09	CHI	197.96400000000003	198.40200000000002	a@fs bobo .
237	LEONARD	1_08_09	mod			… bɔbo
238	LEONARD	1_08_09	pho			a boboː
239	LEONARD	1_08_09	CHI	198.40200000000002	198.69400000000002	bobo .
240	LEONARD	1_08_09	mod			bɔbo
241	LEONARD	1_08_09	pho			boboː
242	LEONARD	1_08_09	CHI	198.69400000000002	198.986	non .
243	LEONARD	1_08_09	mod			nɔ̃
244	LEONARD	1_08_09	pho			nɔ̃
245	LEONARD	1_08_09	CHI	198.986	199.278	bateau .
246	LEONARD	1_08_09	mod			bato
247	LEONARD	1_08_09	pho			dato
248	LEONARD	1_08_09	CHI	199.278	199.725	non .
249	LEONARD	1_08_09	mod			nɔ̃
250	LEONARD	1_08_09	pho			nɔ
251	LEONARD	1_08_09	CHI	199.725	200.465	non .
252	LEONARD	1_08_09	mod			nɔ̃
253	LEONARD	1_08_09	pho			nɔ̃
254	LEONARD	1_08_09	MOT	200.465	203.425	tu veux pas que je te lave ?
255	LEONARD	1_08_09	sit			il le lui donne.
256	LEONARD	1_08_09	MOT	203.425	204.905	et l'autre pied .
257	LEONARD	1_08_09	MOT	204.905	207.135	l'autre pied non plus ?
258	LEONARD	1_08_09	MOT	207.135	213.217	donne+moi l'autre pied .
259	LEONARD	1_08_09	MOT	213.217	214.935	voilà .
260	LEONARD	1_08_09	sit			elle le frotte.
261	LEONARD	1_08_09	CHI	214.935	222.11700000000002	voilà .
262	LEONARD	1_08_09	mod			vwala
263	LEONARD	1_08_09	pho			vala
264	LEONARD	1_08_09	MOT	222.11700000000002	222.49099999999999	voilà .
265	LEONARD	1_08_09	sit			CHI regarde la caméra.
266	LEONARD	1_08_09	CHI	222.49099999999999	223.053	non .
267	LEONARD	1_08_09	mod			nɔ̃
268	LEONARD	1_08_09	pho			nɔ̃ː
269	LEONARD	1_08_09	CHI	223.053	223.683	non .
270	LEONARD	1_08_09	mod			nɔ̃
271	LEONARD	1_08_09	pho			nɔ̃ː
272	LEONARD	1_08_09	MOT	223.683	225.262	ah ben dis+donc !
273	LEONARD	1_08_09	sit			CHI se met sur le ventre.
274	LEONARD	1_08_09	MOT	225.262	226.82299999999998	non non non toujours non .
275	LEONARD	1_08_09	MOT	226.82299999999998	232.58700000000002	xx ça xx .
276	LEONARD	1_08_09	CHI	232.58700000000002	237.265	yyy .
277	LEONARD	1_08_09	mod			…
278	LEONARD	1_08_09	sit			CHI saute.
279	LEONARD	1_08_09	pho			ɔbɔ
280	LEONARD	1_08_09	CHI	237.265	238.752	ah .
281	LEONARD	1_08_09	mod			a
282	LEONARD	1_08_09	pho			a
283	LEONARD	1_08_09	CHI	238.752	241.158	ah .
284	LEONARD	1_08_09	mod			a
285	LEONARD	1_08_09	pho			aː
286	LEONARD	1_08_09	MOT	241.158	242.608	ah voilà debout .
287	LEONARD	1_08_09	sit			il saute.
288	LEONARD	1_08_09	tim			4:00
289	LEONARD	1_08_09	MOT	242.608	244.64700000000002	ah !
290	LEONARD	1_08_09	sit			Elle essaie de le laver.
291	LEONARD	1_08_09	MOT	244.64700000000002	245.553	tu m'en mets partout .
292	LEONARD	1_08_09	MOT	245.553	248.957	de l'eau sur maman !
293	LEONARD	1_08_09	MOT	248.957	250.862	tu m'as arrosée .
294	LEONARD	1_08_09	CHI	250.862	251.665	non .
295	LEONARD	1_08_09	mod			nɔ̃
296	LEONARD	1_08_09	pho			nɔ̃ː
297	LEONARD	1_08_09	MOT	251.665	252.592	si si viens .
298	LEONARD	1_08_09	CHI	252.592	253.162	non .
299	LEONARD	1_08_09	mod			nɔ̃
300	LEONARD	1_08_09	pho			nɔ̃ː
301	LEONARD	1_08_09	MOT	253.162	254.262	viens que je te lave le dos .
302	LEONARD	1_08_09	CHI	254.262	261.532	non # non .
303	LEONARD	1_08_09	mod			nɔ̃ nɔ̃
304	LEONARD	1_08_09	sit			il gémit.
305	LEONARD	1_08_09	pho			nɔ̃ nɔ̃ː
306	LEONARD	1_08_09	MOT	261.532	262.383	tu vas bouder ?
307	LEONARD	1_08_09	CHI	262.383	265.847	non ## non .
308	LEONARD	1_08_09	mod			nɔ̃ nɔ̃
309	LEONARD	1_08_09	sit			il gémit.
310	LEONARD	1_08_09	pho			nɔ̃ nɔ̃ː
311	LEONARD	1_08_09	MOT	265.847	269.313	t'es méchant !
312	LEONARD	1_08_09	MOT	269.313	272.175	t'es méchant !
313	LEONARD	1_08_09	sit			il l'embrasse.
314	LEONARD	1_08_09	MOT	272.175	275.143	ah ça va mieux .
315	LEONARD	1_08_09	sit			il tombe sur les fesses.
316	LEONARD	1_08_09	MOT	275.143	278.402	t'es un coquin quand+même .
317	LEONARD	1_08_09	MOT	278.402	279.242	tu veux pas que je te lave .
318	LEONARD	1_08_09	MOT	279.242	279.668	boum boum .
319	LEONARD	1_08_09	MOT	279.668	281.705	t'es tombé .
320	LEONARD	1_08_09	CHI	281.705	283.747	boum .
321	LEONARD	1_08_09	mod			bum
322	LEONARD	1_08_09	pho			bum
323	LEONARD	1_08_09	CHI	283.747	285.11	(tom)bé .
324	LEONARD	1_08_09	mod			tɔ̃be
325	LEONARD	1_08_09	pho			be
326	LEONARD	1_08_09	MOT	285.11	285.563	t'es tombé ?
327	LEONARD	1_08_09	sit			CHI éclabousse partout et de l'eau entre dans sa bouche.
328	LEONARD	1_08_09	MOT	285.563	286.02	oh !
329	LEONARD	1_08_09	sit			il tousse.
330	LEONARD	1_08_09	MOT	286.02	293.497	t'as bu la tasse .
331	LEONARD	1_08_09	MOT	293.497	295.87	c'est pas bon hein ce savon .
332	LEONARD	1_08_09	tim			5:00
333	LEONARD	1_08_09	CHI	295.87	296.548	bateau .
334	LEONARD	1_08_09	mod			bato
335	LEONARD	1_08_09	pho			gatɔ
336	LEONARD	1_08_09	CHI	296.548	297.226	yyy .
337	LEONARD	1_08_09	mod			…
338	LEONARD	1_08_09	pho			da
339	LEONARD	1_08_09	CHI	297.226	298.243	yyy .
340	LEONARD	1_08_09	mod			…
341	LEONARD	1_08_09	pho			da
342	LEONARD	1_08_09	CHI	298.243	303.52	yyy .
343	LEONARD	1_08_09	mod			…
344	LEONARD	1_08_09	pho			ta
345	LEONARD	1_08_09	MOT	303.52	304.943	quoi ?
346	LEONARD	1_08_09	CHI	304.943	306.209	yyy .
347	LEONARD	1_08_09	mod			…
348	LEONARD	1_08_09	pho			daɔtjɛ̃
349	LEONARD	1_08_09	MOT	306.209	308.112	ta .
350	LEONARD	1_08_09	sit			CHI bouge beaucoup et fait des éclaboussures.
351	LEONARD	1_08_09	MOT	308.112	308.788	c'est quoi ta ?
352	LEONARD	1_08_09	MOT	308.788	309.297	oh !
353	LEONARD	1_08_09	sit			elle montre son front.
354	LEONARD	1_08_09	MOT	309.297	313.152	tu m'as arrosée là .
355	LEONARD	1_08_09	CHI	313.152	313.472	là .
356	LEONARD	1_08_09	mod			la
357	LEONARD	1_08_09	sit			il montre son propre front au même endroit.
358	LEONARD	1_08_09	pho			la
359	LEONARD	1_08_09	MOT	313.472	314.432	hm tu m'as arrosée là !
360	LEONARD	1_08_09	MOT	314.432	314.91200000000003	regarde !
361	LEONARD	1_08_09	MOT	314.91200000000003	322.595	là tu m'as arrosée !
362	LEONARD	1_08_09	CHI	322.595	324.932	là .
363	LEONARD	1_08_09	mod			la
364	LEONARD	1_08_09	sit			il montre son propre front.
365	LEONARD	1_08_09	pho			laː
366	LEONARD	1_08_09	CHI	324.932	326.163	là .
367	LEONARD	1_08_09	mod			la
368	LEONARD	1_08_09	sit			il montre le front de sa mère.
369	LEONARD	1_08_09	pho			laː
370	LEONARD	1_08_09	MOT	326.163	326.585	oui !
371	LEONARD	1_08_09	sit			il lui fait un bisou à l'endroit éclaboussé sur le front.
372	LEONARD	1_08_09	CHI	326.585	327.218	nez .
373	LEONARD	1_08_09	mod			ne
374	LEONARD	1_08_09	pho			neː
375	LEONARD	1_08_09	CHI	327.218	334.88300000000004	nez .
376	LEONARD	1_08_09	mod			ne
377	LEONARD	1_08_09	pho			ne
378	LEONARD	1_08_09	MOT	334.88300000000004	335.555	le nez .
379	LEONARD	1_08_09	CHI	335.555	336.055	non .
380	LEONARD	1_08_09	mod			nɔ̃
381	LEONARD	1_08_09	sit			il touche le front de sa mère.
382	LEONARD	1_08_09	pho			nɔ̃ː
383	LEONARD	1_08_09	MOT	336.055	337.06	le front .
384	LEONARD	1_08_09	sit			CHI montre son père qui est entré dans la salle de bain et se tient derrière OBS.
385	LEONARD	1_08_09	MOT	337.06	339.555	le front .
386	LEONARD	1_08_09	CHI	339.555	339.86300000000006	papa .
387	LEONARD	1_08_09	mod			papa
388	LEONARD	1_08_09	pho			papa
389	LEONARD	1_08_09	MOT	339.86300000000006	340.483	c'est papa .
390	LEONARD	1_08_09	MOT	340.483	342.259	le front de papa il est là+bas .
391	LEONARD	1_08_09	CHI	342.259	342.93199999999996	non .
392	LEONARD	1_08_09	mod			nɔ̃
393	LEONARD	1_08_09	pho			nɔ̃
394	LEONARD	1_08_09	CHI	342.93199999999996	346.5	yyy .
395	LEONARD	1_08_09	mod			…
396	LEONARD	1_08_09	pho			age
397	LEONARD	1_08_09	CHI	342.93199999999996	344.358	non !
398	LEONARD	1_08_09	mod			nɔ̃
399	LEONARD	1_08_09	sit			il veut s'assoir et glisse.
400	LEONARD	1_08_09	pho			nɔ̃
401	LEONARD	1_08_09	MOT	344.358	346.5	attention !
402	LEONARD	1_08_09	MOT	346.5	349.17199999999997	attention !
403	LEONARD	1_08_09	CHI	349.17199999999997	350.435	(tom)bé .
404	LEONARD	1_08_09	mod			tɔ̃be
405	LEONARD	1_08_09	pho			be
406	LEONARD	1_08_09	MOT	350.435	350.847	t'es tombé encore !
407	LEONARD	1_08_09	sit			CHI l'éclabousse.
408	LEONARD	1_08_09	MOT	350.847	351.05300000000005	oh !
409	LEONARD	1_08_09	tim			6:00
410	LEONARD	1_08_09	sit			elle fait semblant de pleurer. il l'embrasse et glisse à nouveau.
411	LEONARD	1_08_09	MOT	351.05300000000005	351.259	encore !
412	LEONARD	1_08_09	MOT	351.259	351.56800000000004	oh # coquin !
413	LEONARD	1_08_09	MOT	351.56800000000004	351.98699999999997	t'es coquin !
414	LEONARD	1_08_09	MOT	351.98699999999997	356.54699999999997	non non ## t'es méchant !
415	LEONARD	1_08_09	MOT	356.54699999999997	360.35699999999997	ouh ouh ouh .
416	LEONARD	1_08_09	MOT	360.35699999999997	364.94699999999995	oh dis+donc tu prends des risques hein !
417	LEONARD	1_08_09	CHI	364.94699999999995	365.505	e@fs bois .
418	LEONARD	1_08_09	mod			… bwa
419	LEONARD	1_08_09	sit			il remue les jambes et fait de nouvelles éclaboussures.
420	LEONARD	1_08_09	pho			e bwa
421	LEONARD	1_08_09	MOT	365.505	366.06800000000004	oh .
422	LEONARD	1_08_09	MOT	366.06800000000004	373.043	j'suis mouillée partout !
423	LEONARD	1_08_09	CHI	373.043	375.06	oh !
424	LEONARD	1_08_09	mod			ɔ
425	LEONARD	1_08_09	sit			il l'embrasse. il rit, puis crie et l'éclabousse.
426	LEONARD	1_08_09	pho			oː
427	LEONARD	1_08_09	MOT	375.06	378.957	ah non j'en ai marre de ce jeu .
428	LEONARD	1_08_09	sit			il continue de l'éclabousser.
429	LEONARD	1_08_09	MOT	378.957	381.12199999999996	non j'en ai marre .
430	LEONARD	1_08_09	MOT	381.12199999999996	382.85400000000004	ça fait rire .
431	LEONARD	1_08_09	MOT	382.85400000000004	383.72	non !
432	LEONARD	1_08_09	sit			CHI rit.
433	LEONARD	1_08_09	MOT	383.72	384.586	non !
434	LEONARD	1_08_09	MOT	384.586	386.32300000000004	je m'éloigne .
435	LEONARD	1_08_09	MOT	386.32300000000004	387.291	non !
436	LEONARD	1_08_09	MOT	387.291	388.259	non !
437	LEONARD	1_08_09	tim			7:00
438	LEONARD	1_08_09	sit			il continue.
439	LEONARD	1_08_09	MOT	388.259	389.227	non !
440	LEONARD	1_08_09	MOT	389.227	390.195	oh !
441	LEONARD	1_08_09	MOT	390.195	394.06800000000004	arrête arrête arrête arrête arrête arrête !
442	LEONARD	1_08_09	MOT	394.06800000000004	401.154	c'est fatigant d'arroser sa mère .
443	LEONARD	1_08_09	MOT	401.154	405.87800000000004	mais non Léonard .
444	LEONARD	1_08_09	MOT	405.87800000000004	415.332	l'eau elle reste dans le bain .
445	LEONARD	1_08_09	MOT	415.332	428.01300000000003	faut pas qu' elle aille dehors !
446	LEONARD	1_08_09	CHI	428.01300000000003	429.452	dehors .
447	LEONARD	1_08_09	mod			dəɔʀ
448	LEONARD	1_08_09	pho			dəɔ
449	LEONARD	1_08_09	MOT	429.452	430.991	non faut pas qu' elle aille dehors justement .
450	LEONARD	1_08_09	CHI	430.991	431.333	dehors .
451	LEONARD	1_08_09	mod			dəɔʀ
452	LEONARD	1_08_09	pho			dɔ
453	LEONARD	1_08_09	CHI	431.333	431.675	aller .
454	LEONARD	1_08_09	mod			ale
455	LEONARD	1_08_09	pho			ale
456	LEONARD	1_08_09	CHI	431.675	432.19	bateau .
457	LEONARD	1_08_09	mod			bato
458	LEONARD	1_08_09	pho			dato
